schema_version,label_status,toutiao_group_id,title,title_resolves_outcome,evidence_note
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666993006314029614,TikTok允许用户降低AI内容比例，真正变化的是流量由谁决定！,FALSE,'流量由谁决定'未在标题给出答案
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666992183194468910,TikTok开始识别AI批量垃圾账号，真正被淘汰的可能不是AI,FALSE,'可能不是AI'留出未说明的对象
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666989719011590707,能源成本上涨，但企业不敢向消费者提价？,FALSE,显式问号，原因未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666987528389444147,KFC和必胜客靠折扣恢复增长，但低价不能直接复制！,FALSE,'不能直接复制'原因未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666985905302946342,消费贷款违约创新高，低收入用户正在主动缩减需求！,TRUE,两个事实陈述完整，无未答问题
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666984421840568841,中国线上餐饮增长13.9%，餐饮入口继续向数字渠道迁移！,TRUE,趋势事实完整陈述
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666344828266922534,24批次食品不合格，别等吃进嘴才知道,TRUE,结果+提醒，无未答问题
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666343043691282982,亚马逊最高退51美元：自动续费该查了,FALSE,'该查了'是行动缺口，未说怎么查
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666341207500522022,携程被罚没51.79亿元：你订酒店时看到的“最低价”到底谁说了算,FALSE,显式'到底谁说了算'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666019724131697198,8年质保到期后，电车车主才发现：最贵的可能不是买车,FALSE,'最贵的可能不是买车'未说明是什么
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7666014650042974758,317万年终奖截图传出去后被辞退：职场人真正该怕的不是炫富,FALSE,'真正该怕的不是炫富'未说明是什么
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665687195461763635,贵州遵义多部门查处抠脚汉扮美女卖酒涉事公司！,TRUE,结果完整陈述，无未答问题
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665685512618770990,68元请香结账变952元，湖南衡阳通报涉事商行罚款4000元，停业7天,TRUE,结果与处罚均已交代完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665688037468258866,自驾新能源汽车跨境遭远程锁车超30小时，车主称事前未提醒！,TRUE,事件经过与结果已交代完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665609271308763675,特斯拉营收增长26%，利润却下降：卖得更多，为什么赚钱更难？,FALSE,显式'为什么'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665608481654784539,亚马逊裁减AGI团队岗位，AI研发开始接受业务优先级审查！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665607329580155442,年轻人为何少喝康师傅？,FALSE,显式'为何'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665606245226643978,多款高端手机涨价超1000元：新机越来越贵，还需要年年换吗？,FALSE,显式问句未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665604390824264218,净网：网警发布20起涉汛涉灾谣言案例！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665580670458380850,求职者因过往民事诉讼被大厂拒聘，过度背调引争议！,TRUE,事件结果已交代完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665251613124067875,TikTok Shop开始亲自替商家做运营，代运营行业可能被平台吞掉！,FALSE,'可能被吞掉'是未确定的预测，机制未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665250423296623139,上半年全国城镇新增就业695万人，同比持平！,TRUE,纯数据陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665246616202265123,外卖补贴监管进入落地窗口，餐饮流量战将从补贴转向利润核算,TRUE,变化方向作为结论完整陈述，无显式问句
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665243979377689123,国家消费规划明确支持地域餐饮品牌和美食产业集群！,TRUE,纯事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665240612924375567,第一批电车电池8年质保潮来临！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665239147438801423,2026年财富中国500强出炉Q！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665235558906266112,女子临近退休差点多等11年领养老金！,TRUE,'差点'已暗示结果，事件完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665232523324064296,老人赠房56岁女友被叫停！,TRUE,结果完整陈述
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665228349236642338,"酒店低价早餐券灰产:用差评换霸王餐,有商家卖出3万张获利数十万",TRUE,机制与结果均已交代完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665225595810267648,"女子买二手房吊顶流出血水,原房东疑因卖亏了在房中藏死鸡报复",TRUE,事件与推测原因已交代完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665028458392699427,英国首相伯纳姆首秀：将启动40年来最大改革,FALSE,'将启动'未来时，改革内容未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665027189595472418,美国对加拿大产品加征50%关税！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665026244437721615,美股高开低走 芯片股反弹！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665025015687037492,世界杯日均消耗15.84万亿Token！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7665023722893345332,美国拟限制中国开源AI模型！,FALSE,'拟限制'未确定，后续未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664978427212038690,71岁奶奶救人被认定见义勇为！,TRUE,结果完整陈述
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664976987963458082,SpaceX首份财报将至，真正要接受检验的是这门生意,FALSE,'将至'未来事件，结果未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664973953823162932,月租4600元的酒店，为什么开始有人住？,FALSE,显式'为什么'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664970247287489039,卖一辆10万元的新车只赚1500元，这笔账到底怎么算？,FALSE,显式'到底怎么算'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664967246195851811,赣锋锂业等成立能源科技公司，普通人该看懂什么信号？,FALSE,显式'该看懂什么信号'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664852815495365171,菲方围顶冲撞中方巡逻艇视频曝光！,TRUE,事实陈述完整
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664673924667556402,一年超8万家面包店关停：为什么每天都有人买还是有人撑不下去？,FALSE,显式'为什么'未答
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664155354682393115,两类服务业增长超10%，小老板该重新理解轻资产！,FALSE,'该重新理解'未说明具体错在哪
FEATURE_EXTRACTION_SCHEMA_V3_TITLE_RESOLUTION,LOCKED_BLIND_V3,7664135733241790985,服务消费增长5.3%，为什么只卖商品越来越难赚钱？,FALSE,显式'为什么'未答
