toutiao_group_id,title,impressions,reads,revenue,basic_income,subsidy_income,comments,favorites,word_count,publish_time_cn,topic_category,structural_form,title_has_number,title_is_question,title_has_direct_person,stakes_has_specific_amount_or_quantity,stakes_has_action_advice,evidence_note
7666993006314029614,TikTok允许用户降低AI内容比例，真正变化的是流量由谁决定！,725,0,0,0,0,0,0,2139,2026-07-27 17:00,科技/国际,解读/分析,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
7666992183194468910,TikTok开始识别AI批量垃圾账号，真正被淘汰的可能不是AI,745,0,0,0,0,0,0,1683,2026-07-27 15:00,科技/国际,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7666989719011590707,能源成本上涨，但企业不敢向消费者提价？,760,0,0,0,0,0,0,1480,2026-07-27 13:00,宏观经济/行业数据,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
7666987528389444147,KFC和必胜客靠折扣恢复增长，但低价不能直接复制！,956,6,0,0,0,1,0,1020,2026-07-27 11:00,企业/商业动态,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7666985905302946342,消费贷款违约创新高，低收入用户正在主动缩减需求！,718,0,0,0,0,0,0,1815,2026-07-27 09:00,宏观经济/行业数据,解读/分析,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
7666984421840568841,中国线上餐饮增长13.9%，餐饮入口继续向数字渠道迁移！,2148,25,0.02,0.02,0,1,1,971,2026-07-27 07:37,宏观经济/行业数据,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7666344828266922534,24批次食品不合格，别等吃进嘴才知道,1003,0,0,0,0,0,0,891,2026-07-25 18:00,消费/维权,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7666343043691282982,亚马逊最高退51美元：自动续费该查了,1892,74,0,0,0,0,1,1766,2026-07-25 16:00,消费/维权,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7666341207500522022,携程被罚没51.79亿元：你订酒店时看到的“最低价”到底谁说了算,1049,0,0,0,0,0,0,1022,2026-07-25 14:06,消费/维权,解读/分析,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题设问；标题含读者/人群指向
7666019724131697198,8年质保到期后，电车车主才发现：最贵的可能不是买车,1316,14,0,0,0,1,0,1486,2026-07-24 18:00,消费/维权,解读/分析,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
7666014650042974758,317万年终奖截图传出去后被辞退：职场人真正该怕的不是炫富,1333,0,0,0,0,0,0,1288,2026-07-24 16:54,职场/收入,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665687195461763635,贵州遵义多部门查处抠脚汉扮美女卖酒涉事公司！,1280,0,0,0,0,0,0,913,2026-07-24 11:00,消费/维权,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7665685512618770990,68元请香结账变952元，湖南衡阳通报涉事商行罚款4000元，停业7天,780,2,0,0,0,0,0,734,2026-07-24 09:00,消费/维权,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665688037468258866,自驾新能源汽车跨境遭远程锁车超30小时，车主称事前未提醒！,711,2,0,0,0,0,0,977,2026-07-24 07:00,消费/维权,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
7665609271308763675,特斯拉营收增长26%，利润却下降：卖得更多，为什么赚钱更难？,871,0,0,0,0,0,0,583,2026-07-23 22:00,企业/商业动态,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
7665608481654784539,亚马逊裁减AGI团队岗位，AI研发开始接受业务优先级审查！,783,0,0,0,0,0,0,598,2026-07-23 20:00,科技/国际,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
